"","Iplant_Double","Month","Year","Transect_R","Hummingbird","Camera","Day","Bird","Plant","Yobs","DateP","ID","Elev","Traitmatch","Flowers","Month.a","jBird","jPlant","jCamera"
"97","Besleria solanoides",10,"2013","1700_1900","Wedge-billed Hummingbird","121",1,6,24,0,"2013-10-22","FH501",NA,0.233,0.83181969102166,"Oct",17,2,121
"98","Besleria solanoides",10,"2013","1700_1900","Booted Racket-tail","121",1,8,24,0,"2013-10-22","FH501",NA,0.331,0.83181969102166,"Oct",2,2,121
"99","Besleria solanoides",10,"2013","1700_1900","Tawny-bellied Hermit","121",1,11,24,1,"2013-10-22","FH501",1810,2.44,0.83181969102166,"Oct",15,2,121
"100","Besleria solanoides",10,"2015","1900_2100","Tawny-bellied Hermit","181",1,11,24,0,"2015-10-20","FH650",NA,2.44,0.497670943926876,"Oct",15,2,181
"101","Besleria solanoides",10,"2015","1900_2100","Brown Inca","181",1,13,24,0,"2015-10-20","FH650",NA,1.733,0.497670943926876,"Oct",3,2,181
"102","Besleria solanoides",10,"2015","1900_2100","Green-crowned Brilliant","181",1,10,24,0,"2015-10-20","FH650",NA,0.554,0.497670943926876,"Oct",9,2,181
"103","Besleria solanoides",10,"2015","1900_2100","Violet-tailed Sylph","181",1,14,24,1,"2015-10-20","FH650",1990,0.001,0.497670943926876,"Oct",16,2,181
"104","Besleria solanoides",11,"2014","1700_1900","Green-crowned Brilliant","137",1,10,24,0,"2014-11-06","FH527",NA,0.554,0.86944102654245,"Nov",9,2,137
"105","Besleria solanoides",11,"2014","1700_1900","Green-crowned Brilliant","33",1,10,24,0,"2014-11-06","FH1207",NA,0.554,0.86944102654245,"Nov",9,2,33
"106","Besleria solanoides",11,"2014","1700_1900","Tawny-bellied Hermit","194",1,11,24,0,"2014-11-06","FH725",NA,2.44,0.86944102654245,"Nov",15,2,194
"107","Besleria solanoides",11,"2014","1700_1900","Wedge-billed Hummingbird","33",1,6,24,0,"2014-11-06","FH1207",NA,0.233,0.86944102654245,"Nov",17,2,33
"108","Besleria solanoides",11,"2014","1700_1900","Purple-bibbed Whitetip","33",1,7,24,0,"2014-11-06","FH1207",NA,0.307,0.86944102654245,"Nov",12,2,33
"109","Besleria solanoides",11,"2014","1700_1900","Violet-tailed Sylph","33",1,14,24,4,"2014-11-06","FH1207",1880,0.001,0.86944102654245,"Nov",16,2,33
"110","Besleria solanoides",11,"2014","1700_1900","Purple-bibbed Whitetip","194",1,7,24,0,"2014-11-06","FH725",NA,0.307,0.86944102654245,"Nov",12,2,194
"111","Besleria solanoides",11,"2014","1700_1900","Booted Racket-tail","33",1,8,24,2,"2014-11-06","FH1207",1880,0.331,0.86944102654245,"Nov",2,2,33
"112","Besleria solanoides",11,"2014","1700_1900","Wedge-billed Hummingbird","137",1,6,24,0,"2014-11-06","FH527",NA,0.233,0.86944102654245,"Nov",17,2,137
"113","Besleria solanoides",11,"2014","1700_1900","Booted Racket-tail","194",1,8,24,0,"2014-11-06","FH725",NA,0.331,0.86944102654245,"Nov",2,2,194
"114","Besleria solanoides",11,"2014","1700_1900","Green-crowned Brilliant","194",1,10,24,0,"2014-11-06","FH725",NA,0.554,0.86944102654245,"Nov",9,2,194
