"MorphID","SpID","Sex","N","ExpC","Peso","Acom","TotC","AlCdo","PrfP","AlAnc","AlLgo","Rasp","Rform","WiLo","Wtap","AlArea","ColaL","PataE","TarsL","UnaL","PsoSD","ExpCSD","AcomSD","TotCSD","AlCdoSD","PrfPSD","AlAncSD","AlLgoSD","RaspSD","RformSD","WiLoSD","WtapSD","AlAreaSD","ColaLSD","PataESD","TarsLSD","UnaLSD","ReferenceID","LocalityID","MuseumID","Notes","Subspeciesname","spname"
62,149,"Macho",20,18.36,5.64,5.78,21.15,61.97,1.92,24.03,68.99,7.27,2.87,0.21,0.26,13.08,41.56,12.08,6.1,3.56,0.2,0.6,0.19,0.8,0.94,0.12,0.6,1.91,0.21,0.05,0.00975792262425912,0.02,0.46,1.29,0.41,0.25,0.16,183,598,1,"",NA,"Eriocnemis.cupreoventris"
63,147,"Macho",11,18.44,5.37,5.29,21.07,59.75,2.08,22.87,65.52,7.03,2.86,0.22,0.22,12.21,32.1,11.19,5.51,3.45,0.03,0.73,0.48,0.82,1.98,0.11,0.88,1.54,0.24,0.08,0.01,0.03,0.62,1.28,0.44,0.29,0.18,183,598,1,"",NA,"Eriocnemis.derbyi"
64,147,"Macho",6,21.31,5.25,5.25,24.2,58.9,1.88,22.58,65.26,7.45,2.89,0.22,0.28,11.43,32.31,11.61,5.68,3.46,0.22,1.18,0.2,1.16,0.95,0.07,0.22,1.13,0.13,0.07,0.00758114871416515,0.01,0.22,0.44,0.48,0.14,0.13,183,598,1,"",NA,"Eriocnemis.derbyi"
65,145,"Macho",4,15.77,4.1,5.45,17.82,55.05,1.68,22.52,64.8,8.07,2.87,0.19,0.4,10.4,36.42,10.75,5.68,3.47,0.25,0.23,0.12,0.17,0.99,0.02,1.08,1.87,0.1,0.06,0.01,0.04,0.5,0.68,0.17,0.16,0.12,183,598,1,"",NA,"Eriocnemis.isabellae"
66,153,"Macho",1,18.2,3.5,5.2,20.4,52.1,1.7,21.2,60.3,7.03,2.84,0.16,0.23,10.33,35.2,10.1,5.3,3.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,183,598,1,"",NA,"Eriocnemis.mirabilis"
67,151,"Macho",24,18.3,6.32,5.59,21.22,71.87,2.04,27.24,79.31,7.24,2.91,0.18,0.24,17.36,55.43,12.07,6.09,3.76,0.44,0.68,0.28,1,1.57,0.14,0.73,1.58,0.16,0.05,0.01,0.02,0.66,2.6,0.34,0.19,0.36,183,598,1,"",NA,"Eriocnemis.mosquera"
68,146,"Macho",25,19.04,4.87,5.11,21.38,59.82,1.75,23.36,66.33,7.13,2.84,0.19,0.25,12.33,40.96,11.57,5.7,3.63,0.18,0.55,0.25,0.86,1.02,0.08,0.62,1.53,0.26,0.09,0.00979072402215694,0.02,0.44,1.17,0.37,0.26,0.22,183,598,1,"",NA,"Eriocnemis.vestita"
69,164,"Macho",19,27.34,12.14,9.38,32.82,76.17,2.92,31.4,87.54,7.15,2.78,0.28,0.28,21.42,52.84,14.89,7.82,4.84,0.53,1,0.32,1.51,1.89,0.15,0.79,2.23,0.23,0.08,0.01,0.03,0.92,2.26,0.52,0.26,0.21,183,598,1,"",NA,"Eutoxeres.aquila"
70,166,"Macho",22,19.6,7.4,6.41,23.23,71.75,2.73,24,80.26,8.24,3.34,0.23,0.23,15.63,38.57,11.25,5.61,2.67,0.3,1.01,0.32,1.01,1.87,0.1,0.82,2.11,0.21,0.09,0.00699071293829634,0.03,0.6,1.62,0.43,0.22,0.24,183,598,1,"",NA,"Florisuga.mellivora"
71,170,"Macho",25,30.44,6.94,7.33,33.68,61.84,3.37,26.47,71.47,6.96,2.7,0.23,0.29,14.67,38.77,10.7,5.46,2.47,0.33,1.56,0.41,1.59,1.46,0.21,0.9,1.56,0.26,0.08,0.01,0.04,0.52,1.53,0.67,0.28,0.17,183,598,1,"",NA,"Glaucis.hirsutus"
72,172,"Macho",2,17.7,4.1,4.95,19.75,52.7,1.85,19.7,61.55,8.1,3.12,0.21,0.29,9.34,29.85,9.5,4.9,2.85,0.14,0.28,0.07,0.07,0.28,0.07,0.14,0.91,0.17,0.06,0.00574100162450198,0.000735495993733288,0.07,0.91,0,0.14,0.07,183,598,1,"",NA,"Goldmania.violiceps"
73,173,"Macho",24,20.11,5.53,5.32,22,60.82,1.97,23.17,68.07,7.25,2.93,0.21,0.23,12.78,38.84,11.62,5.65,3.5,0.34,1.06,0.21,1.11,1.46,0.17,0.53,1.57,0.18,0.06,0.01,0.02,0.53,1.41,0.42,0.22,0.17,183,598,1,"",NA,"Haplophaedia.aureliae"
74,175,"Macho",4,17.5,6.6,5.8,19.87,63.55,2.05,24.47,74.7,7.44,3.05,0.22,0.21,15,38.57,13.15,6.35,3.82,0.37,0.46,0.14,0.86,1,0.07,0.47,0.73,0.31,0.07,0.01,0.03,0.4,0.45,0.35,0.23,0.18,183,598,1,"",NA,"Haplophaedia.lugens"
75,178,"Macho",20,17.05,5.97,6.08,19.36,67.83,2.05,24.91,74.33,7.68,2.98,0.2,0.28,14.38,41.56,12.98,6.15,4.02,0.17,0.47,0.21,0.58,1,0.16,0.66,2.55,0.29,0.07,0.01,0.02,0.7,1.6,0.53,0.21,0.18,183,598,1,"",NA,"Heliangelus.amethysticollis"
76,180,"Macho",21,15.65,5.19,5.55,17.78,65.74,1.9,23.25,71.6,7.64,3.08,0.19,0.23,13.41,46.24,12.2,5.9,3.71,0.25,0.56,0.32,0.74,1.17,0.14,0.68,1.69,0.23,0.07,0.01,0.03,0.61,1.81,0.48,0.23,0.23,183,598,1,"",NA,"Heliangelus.exortis"
